@relation data-annonce
@attribute region { casablanca-mohammedia,marrakech-safi,tanger-tétouan-alhoceïma,rabat-salé-kénitra,casablanca-mohammedia--rabat-salé-kénitra,agadir--casablanca-mohammedia---fès---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma,agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,agadir,casablanca-mohammedia--marrakech-safi,international,fès}
@attribute niveauetude { bac+2,bac+5et-plus,bac+4,bac+3}
@attribute type_contrat { cdi,freelance,cdi--cdd---intérim,cdd,intérim,stage,statutaire,cdi--freelance,cdi--cdd---freelance}
@attribute niveau_experience { débutant<-2-ans,expérienceentre-5-ans-et-10-ans,expérienceentre-2-ans-et-5-ans,expérience>-10-ans,etudiant}
@attribute date {1_10,11_20,21_31}
@attribute java {yes,no}
@attribute j2ee {yes,no}
@attribute springboot {yes,no}
@attribute php {yes,no}
@attribute symfony {yes,no}
@attribute laravel {yes,no}
@attribute react {yes,no}
@attribute ui {yes,no}
@attribute ux {yes,no}
@data
agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,bac+3,cdi,expérienceentre-5-ans-et-10-ans,21_31,no,no,no,no,no,no,no,yes,yes
agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,bac+3,cdi,expérienceentre-5-ans-et-10-ans,21_31,no,no,no,no,no,no,no,yes,yes
agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,bac+3,cdi,expérienceentre-5-ans-et-10-ans,21_31,no,no,no,no,no,no,no,yes,yes
agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,bac+3,cdi,expérienceentre-5-ans-et-10-ans,21_31,no,no,no,no,no,no,no,yes,yes
agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,bac+3,cdi,expérienceentre-5-ans-et-10-ans,21_31,no,no,no,no,no,no,no,yes,yes
agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,bac+3,cdi,expérienceentre-5-ans-et-10-ans,21_31,no,no,no,no,no,no,no,yes,yes
agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,bac+3,cdi,expérienceentre-5-ans-et-10-ans,21_31,no,no,no,no,no,no,no,yes,yes
agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,bac+3,cdi,expérienceentre-5-ans-et-10-ans,21_31,no,no,no,no,no,no,no,yes,yes
agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,bac+3,cdi,expérienceentre-5-ans-et-10-ans,21_31,no,no,no,no,no,no,no,yes,yes
agadir--béni-mellal-khénifra---casablanca-mohammedia---dakhla---errachidia---fès---guelmim---laâyoune---marrakech-safi---meknès---oujda---rabat-salé-kénitra---settat---tanger-tétouan-al-hoceïma---international,bac+3,cdi,expérienceentre-5-ans-et-10-ans,21_31,no,no,no,no,no,no,no,yes,yes
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
marrakech-safi,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,no,no,no,no,no,no,no,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,no,no,no,no,no,no,no,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,no,no,no,no,no,no,no,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,no,no,no,no,no,no,no,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,no,no,no,no,no,no,no,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,no,no,no,no,no,no,no,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,no,no,no,no,no,no,no,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,no,no,no,no,no,no,no,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,yes,yes,no,no,no,no,yes,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,yes,yes,no,no,no,no,yes,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,yes,yes,no,no,no,no,yes,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,yes,yes,no,no,no,no,yes,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,yes,yes,no,no,no,no,yes,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,yes,yes,no,no,no,no,yes,yes,no
casablanca-mohammedia,bac+3,stage,etudiant,21_31,yes,yes,no,no,no,no,yes,yes,no
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,no,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,no,no,no,yes,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,yes,no,no,yes,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,yes,no,no,yes,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,yes,no,no,yes,no,no,no,yes,yes
casablanca-mohammedia,bac+2,cdi,débutant<-2-ans,21_31,yes,no,no,yes,no,no,no,yes,yes
